molecule_chembl_id,cleaned_canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4237789,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N1CCCCC1,inactive,309.3650000000001,3.6019000000000023,0.0,4.0,4.838631997765025
CHEMBL4243416,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N1CCN(CCO)CC1,intermediate,354.4060000000002,1.7258999999999995,1.0,6.0,5.494850021680094
CHEMBL4243856,CCN1CCN(C(C)c2cc3c(o2)C(=O)c2ccccc2C3=O)CC1,intermediate,338.40700000000015,2.7535000000000007,0.0,5.0,5.130768280269024
CHEMBL4240568,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N1CCNCC1,intermediate,310.35300000000007,2.0211999999999994,1.0,5.0,5.522878745280337
CHEMBL4239627,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N1CCN(C)CC1,intermediate,324.3800000000001,2.3633999999999995,0.0,5.0,5.5376020021010435
CHEMBL4243877,C/C(=N\NC1=NCCN1)c1cc2c(o1)C(=O)c1ccccc1C2=O,intermediate,322.32400000000007,1.3277999999999999,2.0,7.0,5.130768280269024
CHEMBL4237798,C/C(=N\O)c1cc2c(o1)C(=O)c1ccccc1C2=O,intermediate,255.22899999999998,2.2532000000000005,1.0,5.0,5.214670164989233
CHEMBL4249851,C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1cc2c(o1)C(=O)c1ccccc1C2=O,intermediate,408.4350000000002,3.065920000000002,1.0,6.0,5.229147988357856
CHEMBL4250468,CC(Cl)c1cc2c(o1)C(=O)c1ccccc1C2=O,inactive,260.676,3.354800000000002,0.0,3.0,4.779891911959945
CHEMBL4240254,CNC(C)c1cc2c(o1)C(=O)c1ccccc1C2=O,intermediate,255.27299999999997,2.3354,1.0,4.0,5.638272163982407
CHEMBL4237424,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N(C)C,intermediate,269.3,2.677600000000001,0.0,4.0,5.443697499232712
CHEMBL4238165,CCNC(C)c1cc2c(o1)C(=O)c1ccccc1C2=O,intermediate,269.3,2.725500000000001,1.0,4.0,5.657577319177793
CHEMBL4242313,CC(O)CNC(C)c1cc2c(o1)C(=O)c1ccccc1C2=O,intermediate,299.326,2.0864000000000003,2.0,5.0,5.721246399047171
CHEMBL4243329,CCN(CC)C(C)c1cc2c(o1)C(=O)c1ccccc1C2=O,intermediate,297.35400000000004,3.4578000000000024,0.0,4.0,5.022276394711152
CHEMBL4250005,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N(CCO)CCO,intermediate,329.3520000000001,1.4025999999999994,2.0,6.0,5.657577319177793
CHEMBL4247307,CC(NCCc1ccccc1)c1cc2c(o1)C(=O)c1ccccc1C2=O,inactive,345.398,3.9483000000000024,1.0,4.0,4.585026652029182
CHEMBL4243070,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)N1CCCC1,intermediate,295.3380000000001,3.211800000000001,0.0,4.0,5.568636235841013
CHEMBL4250315,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)n1cccc1,intermediate,291.306,3.4658000000000015,0.0,4.0,5.236572006437063
CHEMBL4247543,CC(c1cc2c(o1)C(=O)c1ccccc1C2=O)n1ccnc1,inactive,292.294,2.8608000000000002,0.0,5.0,4.59176003468815
